"condition_name","omop_cui","vocabulary_cui","vocabulary_name"
"Small cell B-cell lymphoma, lymph nodes of inguinal region and lower limb",45590940,C83.05,ICD10CM
"Small cell B-cell lymphoma, lymph nodes of multiple sites",45590941,C83.08,ICD10CM
"Mantle cell lymphoma, lymph nodes of axilla and upper limb",45590942,C83.14,ICD10CM
"Mantle cell lymphoma, extranodal and solid organ sites",45590943,C83.19,ICD10CM
"Lymphoblastic (diffuse) lymphoma, extranodal and solid organ sites",45590944,C83.59,ICD10CM
"Other non-follicular lymphoma, intrathoracic lymph nodes",45590946,C83.82,ICD10CM
"Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of axilla and upper limb",45590947,C83.94,ICD10CM
"Non-follicular (diffuse) lymphoma, unspecified, extranodal and solid organ sites",45590948,C83.99,ICD10CM
"Atypical chronic myeloid leukemia, BCR/ABL-negative, in remission",45586066,C92.21,ICD10CM
Acute myeloid leukemia with 11q23-abnormality in remission,45586067,C92.61,ICD10CM
"Acute myeloid leukemia with multilineage dysplasia, in remission",45586068,C92.A1,ICD10CM
"Other myeloid leukemia, in relapse",45586069,C92.Z2,ICD10CM
Acute megakaryoblastic leukemia not having achieved remission,45586070,C94.20,ICD10CM
"Other specified leukemias, in relapse",45586072,C94.82,ICD10CM
"Mycosis fungoides, unspecified site",45605313,C84.00,ICD10CM
"Sezary disease, lymph nodes of axilla and upper limb",45605314,C84.14,ICD10CM
"Sezary disease, spleen",45605315,C84.17,ICD10CM
"Peripheral T-cell lymphoma, not classified, spleen",45605316,C84.47,ICD10CM
"Peripheral T-cell lymphoma, not classified, lymph nodes of multiple sites",45605317,C84.48,ICD10CM
"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of axilla and upper limb",45605318,C84.64,ICD10CM
"Anaplastic large cell lymphoma, ALK-positive, spleen",45605319,C84.67,ICD10CM
"Anaplastic large cell lymphoma, ALK-negative, lymph nodes of head, face, and neck",45605320,C84.71,ICD10CM
"Anaplastic large cell lymphoma, ALK-negative, spleen",45605321,C84.77,ICD10CM
"Mature T/NK-cell lymphomas, unspecified, intra-abdominal lymph nodes",45605322,C84.93,ICD10CM
"Mature T/NK-cell lymphomas, unspecified, lymph nodes of axilla and upper limb",45605323,C84.94,ICD10CM
"Cutaneous T-cell lymphoma, unspecified, spleen",45605324,C84.A7,ICD10CM
"Other mature T/NK-cell lymphomas, spleen",45605325,C84.Z7,ICD10CM
"Unspecified B-cell lymphoma, lymph nodes of axilla and upper limb",45605326,C85.14,ICD10CM
"Unspecified B-cell lymphoma, spleen",45605327,C85.17,ICD10CM
Multiple myeloma not having achieved remission,45605329,C90.00,ICD10CM
Extramedullary plasmacytoma in remission,45605330,C90.21,ICD10CM
"Acute promyelocytic leukemia, in relapse",45605331,C92.42,ICD10CM
Acute myeloid leukemia with multilineage dysplasia,45605332,C92.A,ICD10CM
"Other monocytic leukemia, not having achieved remission",45605334,C93.Z0,ICD10CM
Mast cell leukemia not having achieved remission,45605335,C94.30,ICD10CM
Malignant neoplasm of unspecified part of right bronchus or lung,45600488,C34.91,ICD10CM
Squamous cell carcinoma of skin of ear and external auricular canal,45600493,C44.22,ICD10CM
Squamous cell carcinoma of skin of nose,45600494,C44.321,ICD10CM
Other specified malignant neoplasm of skin of unspecified parts of face,45600495,C44.390,ICD10CM
"Other specified malignant neoplasm of skin of left upper limb, including shoulder",45600497,C44.699,ICD10CM
"Basal cell carcinoma of skin of left lower limb, including hip",45600498,C44.719,ICD10CM
"Squamous cell carcinoma of skin of left lower limb, including hip",45600499,C44.729,ICD10CM
Basal cell carcinoma of overlapping sites of skin,45600500,C44.81,ICD10CM
Squamous cell carcinoma of overlapping sites of skin,45600501,C44.82,ICD10CM
Merkel cell carcinoma of other parts of face,45600504,C4A.39,ICD10CM
"Merkel cell carcinoma of unspecified lower limb, including hip",45600505,C4A.70,ICD10CM
"Merkel cell carcinoma of left lower limb, including hip",45600506,C4A.72,ICD10CM
Malignant neoplasm of upper-outer quadrant of unspecified female breast,45600507,C50.419,ICD10CM
Malignant neoplasm of upper-outer quadrant of left male breast,45600508,C50.422,ICD10CM
Malignant neoplasm of axillary tail of right male breast,45600510,C50.621,ICD10CM
Malignant neoplasm of unspecified site of unspecified female breast,45600511,C50.919,ICD10CM
Malignant neoplasm of unspecified undescended testis,45600515,C62.00,ICD10CM
"Malignant neoplasm of right kidney, except renal pelvis",45600517,C64.1,ICD10CM
Malignant neoplasm of cortex of unspecified adrenal gland,45600522,C74.00,ICD10CM
Malignant neoplasm of unspecified part of right adrenal gland,45600523,C74.91,ICD10CM
Malignant neoplasm of left upper limb,45600524,C76.42,ICD10CM
Malignant neoplasm of unspecified lower limb,45600525,C76.50,ICD10CM
Secondary malignant neoplasm of left kidney and renal pelvis,45600526,C79.02,ICD10CM
Secondary malignant neoplasm of bladder,45600527,C79.11,ICD10CM
Secondary malignant neoplasm of genital organs,45600528,C79.82,ICD10CM
Malignant carcinoid tumor of unspecified site,45600530,C7A.00,ICD10CM
Malignant carcinoid tumor of the appendix,45600531,C7A.020,ICD10CM
Malignant carcinoid tumor of the descending colon,45600532,C7A.024,ICD10CM
Malignant carcinoid tumor of the stomach,45600533,C7A.092,ICD10CM
Secondary carcinoid tumors of other sites,45600534,C7B.09,ICD10CM
"Nodular lymphocyte predominant Hodgkin lymphoma, spleen",45600535,C81.07,ICD10CM
"Nodular sclerosis Hodgkin lymphoma, spleen",45600536,C81.17,ICD10CM
"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of multiple sites",45600537,C81.48,ICD10CM
"Other Hodgkin lymphoma, intra-abdominal lymph nodes",45600538,C81.73,ICD10CM
"Other Hodgkin lymphoma, extranodal and solid organ sites",45600539,C81.79,ICD10CM
"Hodgkin lymphoma, unspecified, unspecified site",45600540,C81.90,ICD10CM
"Follicular lymphoma grade II, intra-abdominal lymph nodes",45600541,C82.13,ICD10CM
"Follicular lymphoma grade IIIb, lymph nodes of axilla and upper limb",45600542,C82.44,ICD10CM
"Follicular lymphoma grade IIIb, extranodal and solid organ sites",45600543,C82.49,ICD10CM
"Diffuse follicle center lymphoma, unspecified site",45600544,C82.50,ICD10CM
"Cutaneous follicle center lymphoma, lymph nodes of multiple sites",45600545,C82.68,ICD10CM
"Small cell B-cell lymphoma, unspecified site",45600547,C83.00,ICD10CM
"Mantle cell lymphoma, intrathoracic lymph nodes",45600548,C83.12,ICD10CM
"Burkitt lymphoma, lymph nodes of head, face, and neck",45600550,C83.71,ICD10CM
"Burkitt lymphoma, lymph nodes of inguinal region and lower limb",45600551,C83.75,ICD10CM
"Non-follicular (diffuse) lymphoma, unspecified, intrapelvic lymph nodes",45600552,C83.96,ICD10CM
"Mycosis fungoides, lymph nodes of axilla and upper limb",45600553,C84.04,ICD10CM
"Mycosis fungoides, extranodal and solid organ sites",45600554,C84.09,ICD10CM
"Peripheral T-cell lymphoma, not classified, lymph nodes of head, face, and neck",45600555,C84.41,ICD10CM
"Anaplastic large cell lymphoma, ALK-positive, extranodal and solid organ sites",45600556,C84.69,ICD10CM
"Mature T/NK-cell lymphomas, unspecified, intrathoracic lymph nodes",45600557,C84.92,ICD10CM
"Cutaneous T-cell lymphoma, unspecified lymph nodes of head, face, and neck",45600558,C84.A1,ICD10CM
"Non-Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes",45600559,C85.93,ICD10CM
"Non-Hodgkin lymphoma, unspecified, intrapelvic lymph nodes",45600560,C85.96,ICD10CM
Multiple myeloma in relapse,45600563,C90.02,ICD10CM
"Chronic myelomonocytic leukemia, in relapse",45600567,C93.12,ICD10CM
"Monocytic leukemia, unspecified, not having achieved remission",45600569,C93.90,ICD10CM
"Mast cell leukemia, in remission",45600570,C94.31,ICD10CM
"Mediastinal (thymic) large B-cell lymphoma, spleen",45595714,C85.27,ICD10CM
Plasma cell leukemia in remission,45595716,C90.11,ICD10CM
Plasma cell leukemia in relapse,45595717,C90.12,ICD10CM
"Prolymphocytic leukemia of T-cell type, in relapse",45595718,C91.62,ICD10CM
"Lymphoid leukemia, unspecified not having achieved remission",45595719,C91.90,ICD10CM
Other lymphoid leukemia not having achieved remission,45595720,C91.Z0,ICD10CM
"Chronic myeloid leukemia, BCR/ABL-positive, in remission",45595721,C92.11,ICD10CM
"Myeloid sarcoma, in relapse",45595722,C92.32,ICD10CM
"Acute myelomonocytic leukemia, in remission",45595723,C92.51,ICD10CM
Acute panmyelosis with myelofibrosis not having achieved remission,45595724,C94.40,ICD10CM
"Leukemia, unspecified, in remission",45595726,C95.91,ICD10CM
Malignant neoplasm of scapula and long bones of unspecified upper limb,45605267,C40.00,ICD10CM
Malignant neoplasm of scapula and long bones of left upper limb,45605268,C40.02,ICD10CM
Malignant neoplasm of unspecified bones and articular cartilage of right limb,45605269,C40.91,ICD10CM
Malignant melanoma of unspecified part of face,45605271,C43.30,ICD10CM
"Other specified malignant neoplasm of skin of unspecified eyelid, including canthus",45605272,C44.191,ICD10CM
Merkel cell carcinoma of other part of trunk,45605275,C4A.59,ICD10CM
Malignant neoplasm of lower-outer quadrant of left female breast,45605276,C50.512,ICD10CM
Malignant neoplasm of lower-outer quadrant of right male breast,45605277,C50.521,ICD10CM
Malignant neoplasm of left round ligament,45605279,C57.22,ICD10CM
Malignant neoplasm of left ciliary body,45605284,C69.42,ICD10CM
Malignant neoplasm of overlapping sites of left eye and adnexa,45605285,C69.82,ICD10CM
Malignant neoplasm of unspecified acoustic nerve,45605286,C72.40,ICD10CM
Secondary malignant neoplasm of unspecified digestive organ,45605288,C78.80,ICD10CM
Secondary malignant neoplasm of left adrenal gland,45605289,C79.72,ICD10CM
"Malignant carcinoid tumor of the small intestine, unspecified portion",45605290,C7A.019,ICD10CM
Malignant carcinoid tumor of the transverse colon,45605291,C7A.023,ICD10CM
"Mixed cellularity Hodgkin lymphoma, intrathoracic lymph nodes",45605292,C81.22,ICD10CM
"Mixed cellularity Hodgkin lymphoma, lymph nodes of axilla and upper limb",45605293,C81.24,ICD10CM
"Mixed cellularity Hodgkin lymphoma, spleen",45605294,C81.27,ICD10CM
"Lymphocyte depleted Hodgkin lymphoma, intrapelvic lymph nodes",45605295,C81.36,ICD10CM
"Lymphocyte depleted Hodgkin lymphoma, spleen",45605296,C81.37,ICD10CM
"Lymphocyte-rich Hodgkin lymphoma, spleen",45605297,C81.47,ICD10CM
"Other Hodgkin lymphoma, lymph nodes of multiple sites",45605298,C81.78,ICD10CM
"Follicular lymphoma grade IIIb, intrathoracic lymph nodes",45605299,C82.42,ICD10CM
"Cutaneous follicle center lymphoma, lymph nodes of head, face, and neck",45605301,C82.61,ICD10CM
"Cutaneous follicle center lymphoma, intra-abdominal lymph nodes",45605302,C82.63,ICD10CM
"Small cell B-cell lymphoma, intra-abdominal lymph nodes",45605304,C83.03,ICD10CM
"Small cell B-cell lymphoma, lymph nodes of axilla and upper limb",45605305,C83.04,ICD10CM
"Small cell B-cell lymphoma, intrapelvic lymph nodes",45605306,C83.06,ICD10CM
"Burkitt lymphoma, intrathoracic lymph nodes",45605308,C83.72,ICD10CM
"Burkitt lymphoma, lymph nodes of axilla and upper limb",45605309,C83.74,ICD10CM
"Burkitt lymphoma, extranodal and solid organ sites",45605310,C83.79,ICD10CM
"Other non-follicular lymphoma, lymph nodes of head, face, and neck",45605311,C83.81,ICD10CM
Multiple myeloma in remission,45581251,C90.01,ICD10CM
Chronic lymphocytic leukemia of B-cell type in relapse,45581253,C91.12,ICD10CM
"Acute myeloblastic leukemia, in remission",45581255,C92.01,ICD10CM
"Acute monoblastic/monocytic leukemia, not having achieved remission",45581257,C93.00,ICD10CM
"Other monocytic leukemia, in relapse",45581259,C93.Z2,ICD10CM
"Acute panmyelosis with myelofibrosis, in relapse",45581260,C94.42,ICD10CM
"Chronic leukemia of unspecified cell type, in remission",45581261,C95.11,ICD10CM
Histiocytic sarcoma,45581266,C96.A,ICD10CM
"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue",45581267,C96.Z,ICD10CM
"Mature T/NK-cell lymphomas, unspecified, lymph nodes of multiple sites",45571564,C84.98,ICD10CM
"Mature T/NK-cell lymphomas, unspecified, extranodal and solid organ sites",45571565,C84.99,ICD10CM
Solitary plasmacytoma in relapse,45571567,C90.32,ICD10CM
Chronic lymphocytic leukemia of B-cell type not having achieved remission,45571568,C91.10,ICD10CM
"Prolymphocytic leukemia of B-cell type, in remission",45571569,C91.31,ICD10CM
"Myeloid leukemia, unspecified in relapse",45571573,C92.92,ICD10CM
"Acute monoblastic/monocytic leukemia, in remission",45571574,C93.01,ICD10CM
"Other monocytic leukemia, in remission",45571575,C93.Z1,ICD10CM
"Acute erythroid leukemia, in remission",45571577,C94.01,ICD10CM
"Acute megakaryoblastic leukemia, in remission",45571578,C94.21,ICD10CM
Acute leukemia of unspecified cell type not having achieved remission,45571579,C95.00,ICD10CM
Malignant neoplasm of overlapping sites of left bronchus and lung,45576310,C34.82,ICD10CM
Malignant neoplasm of short bones of right upper limb,45576311,C40.11,ICD10CM
"Basal cell carcinoma of skin of right upper limb, including shoulder",45576313,C44.612,ICD10CM
"Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder",45576314,C44.691,ICD10CM
"Basal cell carcinoma of skin of lower limb, including hip",45576315,C44.71,ICD10CM
"Squamous cell carcinoma of skin of unspecified lower limb, including hip",45576316,C44.721,ICD10CM
"Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder",45576319,C49.10,ICD10CM
Merkel cell carcinoma of right ear and external auricular canal,45576321,C4A.21,ICD10CM
"Merkel cell carcinoma of unspecified upper limb, including shoulder",45576322,C4A.60,ICD10CM
"Malignant neoplasm of nipple and areola, left male breast",45576323,C50.022,ICD10CM
Malignant neoplasm of lower-inner quadrant of left female breast,45576325,C50.312,ICD10CM
Malignant neoplasm of axillary tail of left male breast,45576326,C50.622,ICD10CM
Malignant neoplasm of overlapping sites of right female breast,45576327,C50.811,ICD10CM
"Malignant neoplasm of upper lobe, unspecified bronchus or lung",45571493,C34.10,ICD10CM
"Malignant neoplasm of upper lobe, left bronchus or lung",45571494,C34.12,ICD10CM
Malignant neoplasm of short bones of left lower limb,45571497,C40.32,ICD10CM
Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb,45571499,C40.90,ICD10CM
Malignant neoplasm of right broad ligament,45576330,C57.11,ICD10CM
Malignant neoplasm of left ureter,45576334,C66.2,ICD10CM
Malignant neoplasm of unspecified part of unspecified adrenal gland,45576336,C74.90,ICD10CM
Secondary malignant neoplasm of other digestive organs,45576340,C78.89,ICD10CM
Secondary malignant neoplasm of unspecified kidney and renal pelvis,45576341,C79.00,ICD10CM
Secondary malignant neoplasm of unspecified adrenal gland,45576342,C79.70,ICD10CM
Secondary malignant neoplasm of right adrenal gland,45576343,C79.71,ICD10CM
"Nodular sclerosis Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",45576345,C81.15,ICD10CM
"Mixed cellularity Hodgkin lymphoma, extranodal and solid organ sites",45576346,C81.29,ICD10CM
"Lymphocyte depleted Hodgkin lymphoma, unspecified site",45576347,C81.30,ICD10CM
"Hodgkin lymphoma, unspecified, extranodal and solid organ sites",45576348,C81.99,ICD10CM
"Follicular lymphoma grade II, intrapelvic lymph nodes",45576349,C82.16,ICD10CM
"Follicular lymphoma grade III, unspecified, unspecified site",45576350,C82.20,ICD10CM
"Follicular lymphoma grade IIIa, lymph nodes of multiple sites",45576351,C82.38,ICD10CM
"Follicular lymphoma grade IIIb, lymph nodes of multiple sites",45576352,C82.48,ICD10CM
"Diffuse follicle center lymphoma, lymph nodes of head, face, and neck",45576354,C82.51,ICD10CM
"Diffuse follicle center lymphoma, intrathoracic lymph nodes",45576355,C82.52,ICD10CM
"Cutaneous follicle center lymphoma, extranodal and solid organ sites",45576356,C82.69,ICD10CM
"Mantle cell lymphoma, unspecified site",45576357,C83.10,ICD10CM
"Burkitt lymphoma, intra-abdominal lymph nodes",45576358,C83.73,ICD10CM
"Sezary disease, lymph nodes of head, face, and neck",45576360,C84.11,ICD10CM
"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of inguinal region and lower limb",45576361,C84.65,ICD10CM
"Anaplastic large cell lymphoma, ALK-negative, intrapelvic lymph nodes",45576362,C84.76,ICD10CM
"Other specified types of non-Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",45576363,C85.85,ICD10CM
"Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites",45576364,C85.88,ICD10CM
"Non-Hodgkin lymphoma, unspecified, lymph nodes of multiple sites",45576365,C85.98,ICD10CM
"Other lymphoid leukemia, in relapse",45576366,C91.Z2,ICD10CM
"Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission",45576368,C92.10,ICD10CM
"Myeloid leukemia, unspecified in remission",45576369,C92.91,ICD10CM
"Leukemia, unspecified, in relapse",45576371,C95.92,ICD10CM
Malignant melanoma of right ear and external auricular canal,45571502,C43.21,ICD10CM
Other specified malignant neoplasm of skin of left ear and external auricular canal,45571504,C44.299,ICD10CM
Basal cell carcinoma of skin of trunk,45571505,C44.51,ICD10CM
"Unspecified malignant neoplasm of skin of left upper limb, including shoulder",45571506,C44.609,ICD10CM
"Unspecified malignant neoplasm of skin of left lower limb, including hip",45571507,C44.709,ICD10CM
"Squamous cell carcinoma of skin of lower limb, including hip",45571508,C44.72,ICD10CM
"Other specified malignant neoplasm of skin of right lower limb, including hip",45571509,C44.792,ICD10CM
Kaposi's sarcoma of lung,45571512,C46.5,ICD10CM
"Malignant neoplasm of peripheral nerves of left lower limb, including hip",45571513,C47.22,ICD10CM
Merkel cell carcinoma of nose,45571517,C4A.31,ICD10CM
"Malignant neoplasm of nipple and areola, left female breast",45571519,C50.012,ICD10CM
Malignant neoplasm of central portion of unspecified male breast,45571520,C50.129,ICD10CM
Malignant neoplasm of lower-inner quadrant of right male breast,45571521,C50.321,ICD10CM
Malignant neoplasm of lower-outer quadrant of left male breast,45571522,C50.522,ICD10CM
Malignant neoplasm of unspecified site of right male breast,45571523,C50.921,ICD10CM
Malignant neoplasm of right ovary,45571525,C56.1,ICD10CM
Malignant neoplasm of left lower limb,45571537,C76.52,ICD10CM
Malignant neoplasm of unspecified retina,45571530,C69.20,ICD10CM
Malignant neoplasm of overlapping sites of unspecified eye and adnexa,45571531,C69.80,ICD10CM
Malignant neoplasm of right lower limb,45571536,C76.51,ICD10CM
Secondary malignant neoplasm of left ovary,45571541,C79.62,ICD10CM
"Malignant carcinoid tumor of the foregut, unspecified",45571542,C7A.094,ICD10CM
Other secondary neuroendocrine tumors,45571543,C7B.8,ICD10CM
"Mixed cellularity Hodgkin lymphoma, intra-abdominal lymph nodes",45571544,C81.23,ICD10CM
"Hodgkin lymphoma, unspecified, intrathoracic lymph nodes",45571546,C81.92,ICD10CM
"Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes",45571547,C81.93,ICD10CM
"Hodgkin lymphoma, unspecified, spleen",45571548,C81.97,ICD10CM
"Follicular lymphoma grade I, extranodal and solid organ sites",45571550,C82.09,ICD10CM
"Follicular lymphoma grade II, lymph nodes of axilla and upper limb",45571551,C82.14,ICD10CM
"Follicular lymphoma grade III, unspecified, extranodal and solid organ sites",45571552,C82.29,ICD10CM
"Cutaneous follicle center lymphoma, spleen",45571553,C82.67,ICD10CM
"Diffuse large B-cell lymphoma, lymph nodes of multiple sites",45571554,C83.38,ICD10CM
"Lymphoblastic (diffuse) lymphoma, intrapelvic lymph nodes",45571556,C83.56,ICD10CM
"Non-follicular (diffuse) lymphoma, unspecified, unspecified site",45571557,C83.90,ICD10CM
"Non-follicular (diffuse) lymphoma, unspecified, intrathoracic lymph nodes",45571558,C83.92,ICD10CM
"Mycosis fungoides, intrapelvic lymph nodes",45571559,C84.06,ICD10CM
"Peripheral T-cell lymphoma, not classified, intrathoracic lymph nodes",45571561,C84.42,ICD10CM
"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of head, face, and neck",45571562,C84.61,ICD10CM
"Anaplastic large cell lymphoma, ALK-negative, intrathoracic lymph nodes",45571563,C84.72,ICD10CM
Malignant neoplasm of unspecified main bronchus,45581204,C34.00,ICD10CM
"Malignant neoplasm of lower lobe, right bronchus or lung",45581205,C34.31,ICD10CM
Malignant neoplasm of unspecified part of left bronchus or lung,45581206,C34.92,ICD10CM
Malignant neoplasm of long bones of right lower limb,45581208,C40.21,ICD10CM
Malignant neoplasm of long bones of left lower limb,45581209,C40.22,ICD10CM
Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb,45581210,C40.81,ICD10CM
"Malignant melanoma of left upper limb, including shoulder",45581211,C43.62,ICD10CM
Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal,45581213,C44.201,ICD10CM
Other specified malignant neoplasm of skin of other and unspecified parts of face,45581214,C44.39,ICD10CM
"Squamous cell carcinoma of skin of right upper limb, including shoulder",45581216,C44.622,ICD10CM
Malignant neoplasm of axillary tail of left female breast,45581222,C50.612,ICD10CM
"Malignant neoplasm of unspecified kidney, except renal pelvis",45581223,C64.9,ICD10CM
Malignant neoplasm of unspecified renal pelvis,45581224,C65.9,ICD10CM
Malignant neoplasm of unspecified ureter,45581225,C66.9,ICD10CM
"Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site",45581228,C81.00,ICD10CM
"Nodular sclerosis Hodgkin lymphoma, unspecified site",45581229,C81.10,ICD10CM
"Nodular sclerosis Hodgkin lymphoma, intrathoracic lymph nodes",45581230,C81.12,ICD10CM
"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of multiple sites",45581231,C81.38,ICD10CM
"Hodgkin lymphoma, unspecified, lymph nodes of multiple sites",45581233,C81.98,ICD10CM
"Follicular lymphoma grade II, extranodal and solid organ sites",45581234,C82.19,ICD10CM
"Follicular lymphoma grade IIIa, intrapelvic lymph nodes",45581235,C82.36,ICD10CM
"Diffuse follicle center lymphoma, lymph nodes of inguinal region and lower limb",45581236,C82.55,ICD10CM
"Cutaneous follicle center lymphoma, intrapelvic lymph nodes",45581237,C82.66,ICD10CM
"Follicular lymphoma, unspecified, intrathoracic lymph nodes",45581238,C82.92,ICD10CM
"Follicular lymphoma, unspecified, lymph nodes of axilla and upper limb",45581239,C82.94,ICD10CM
"Diffuse large B-cell lymphoma, lymph nodes of inguinal region and lower limb",45581240,C83.35,ICD10CM
"Non-follicular (diffuse) lymphoma, unspecified, intra-abdominal lymph nodes",45581241,C83.93,ICD10CM
"Mycosis fungoides, spleen",45581242,C84.07,ICD10CM
"Sezary disease, intra-abdominal lymph nodes",45581243,C84.13,ICD10CM
"Sezary disease, intrapelvic lymph nodes",45581244,C84.16,ICD10CM
"Mature T/NK-cell lymphomas, unspecified, spleen",45581245,C84.97,ICD10CM
"Cutaneous T-cell lymphoma, unspecified, lymph nodes of multiple sites",45581246,C84.A8,ICD10CM
"Unspecified B-cell lymphoma, lymph nodes of head, face, and neck",45581247,C85.11,ICD10CM
"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of head, face, and neck",45581248,C85.21,ICD10CM
"Mediastinal (thymic) large B-cell lymphoma, intrapelvic lymph nodes",45581249,C85.26,ICD10CM
"T-zone lymphoma, extranodal and solid organ sites",35206384,C84.29,ICD10CM
"Lymphoepithelioid lymphoma, unspecified site",35206385,C84.30,ICD10CM
"Lymphoepithelioid lymphoma, lymph nodes of head, face, and neck",35206386,C84.31,ICD10CM
"Lymphoepithelioid lymphoma, intrathoracic lymph nodes",35206387,C84.32,ICD10CM
"Lymphoepithelioid lymphoma, intra-abdominal lymph nodes",35206388,C84.33,ICD10CM
"Lymphoepithelioid lymphoma, lymph nodes of axilla and upper limb",35206389,C84.34,ICD10CM
"Lymphoepithelioid lymphoma, lymph nodes of inguinal region and lower limb",35206390,C84.35,ICD10CM
"Lymphoepithelioid lymphoma, intrapelvic lymph nodes",35206391,C84.36,ICD10CM
"Lymphoepithelioid lymphoma, spleen",35206392,C84.37,ICD10CM
"Lymphoepithelioid lymphoma, lymph nodes of multiple sites",35206393,C84.38,ICD10CM
"Lymphoepithelioid lymphoma, extranodal and solid organ sites",35206394,C84.39,ICD10CM
Other and unspecified T-cell lymphomas unspecified site,35206395,C84.50,ICD10CM
"Other and unspecified T-cell lymphomas, lymph nodes of head, face, and neck",35206396,C84.51,ICD10CM
"Other and unspecified T-cell lymphomas, intrathoracic lymph nodes",35206397,C84.52,ICD10CM
"Other and unspecified T-cell lymphomas, intra-abdominal lymph nodes",35206398,C84.53,ICD10CM
"Other and unspecified T-cell lymphomas, lymph nodes of axilla and upper limb",35206399,C84.54,ICD10CM
"Other and unspecified T-cell lymphomas, lymph nodes of inguinal region and lower limb",35206400,C84.55,ICD10CM
"Other and unspecified T-cell lymphomas, intrapelvic lymph nodes",35206401,C84.56,ICD10CM
"Other and unspecified T-cell lymphomas, spleen",35206402,C84.57,ICD10CM
"Other and unspecified T-cell lymphomas, lymph nodes of multiple sites",35206403,C84.58,ICD10CM
"Other and unspecified T-cell lymphomas, extranodal and solid organ sites",35206404,C84.59,ICD10CM
"Lymphosarcoma, unspecified site",35206405,C85.00,ICD10CM
"Lymphosarcoma, lymph nodes of head, face, and neck",35206406,C85.01,ICD10CM
"Lymphosarcoma, intrathoracic lymph nodes",35206407,C85.02,ICD10CM
"Lymphosarcoma, intra-abdominal lymph nodes",35206408,C85.03,ICD10CM
"Lymphosarcoma, lymph nodes of axilla and upper limb",35206409,C85.04,ICD10CM
"Lymphosarcoma, lymph nodes of inguinal region and lower limb",35206410,C85.05,ICD10CM
"Lymphosarcoma, intrapelvic lymph nodes",35206411,C85.06,ICD10CM
"Lymphosarcoma, spleen",35206412,C85.07,ICD10CM
"Lymphosarcoma, lymph nodes of multiple sites",35206413,C85.08,ICD10CM
"Lymphosarcoma, extranodal and solid organ sites",35206414,C85.09,ICD10CM
"Other specified types of non-Hodgkin's lymphoma, unspecified site",35206415,C85.70,ICD10CM
"Other specified types of non-Hodgkin's lymphoma, lymph nodes of head, face, and neck",35206416,C85.71,ICD10CM
"Other specified types of non-Hodgkin's lymphoma, intrathoracic lymph nodes",35206417,C85.72,ICD10CM
"Other specified types of non-Hodgkin's lymphoma, intra-abdominal lymph nodes",35206418,C85.73,ICD10CM
"Other specified types of non-Hodgkin's lymphoma, lymph nodes of axilla and upper limb",35206419,C85.74,ICD10CM
"Other specified types of non-Hodgkin's lymphoma, lymph nodes of inguinal region and lower limb",35206420,C85.75,ICD10CM
"Other specified types of non-Hodgkin's lymphoma, intrapelvic lymph nodes",35206421,C85.76,ICD10CM
"Other specified types of non-Hodgkin's lymphoma, spleen",35206422,C85.77,ICD10CM
"Other specified types of non-Hodgkin's lymphoma, lymph nodes of multiple sites",35206423,C85.78,ICD10CM
"Other specified types of non-Hodgkin's lymphoma, extranodal and solid organ sites",35206424,C85.79,ICD10CM
Waldenstrom macroglobulinemia,35206425,C88.0,ICD10CM
Alpha heavy chain disease,35206426,C88.1,ICD10CM
Heavy chain disease,35206427,C88.2,ICD10CM
Immunoproliferative small intestinal disease,35206428,C88.3,ICD10CM
Other malignant immunoproliferative diseases,35206429,C88.7,ICD10CM
"Malignant immunoproliferative disease, unspecified",35206430,C88.9,ICD10CM
"Subacute lymphocytic leukemia, not in remission",35206431,C91.20,ICD10CM
"Mixed small and large cell (diffuse) non-Hodgkin's lymphoma, intrapelvic lymph nodes",35206351,C83.26,ICD10CM
"Mixed small and large cell (diffuse) non-Hodgkin's lymphoma, spleen",35206352,C83.27,ICD10CM
"Mixed small and large cell (diffuse) non-Hodgkin's lymphoma, lymph nodes of multiple sites",35206353,C83.28,ICD10CM
"Mixed small and large cell (diffuse) non-Hodgkin's lymphoma, extranodal and solid organ sites",35206354,C83.29,ICD10CM
